97	128
35	1
71	66
32	102
166	63
0	73
162	173
2	15
34	49
1	49
0	83
31	147
66	91
31	152
64	153
130	158
2	34
34	69
0	101
33	103
32	138
33	110
3	16
64	173
176	130
0	116
98	154
60	2
67	96
1	95
98	162
33	130
1	105
141	132
2	75
164	175
177	131
66	144
148	99
0	146
2	84
23	4
99	152
4	26
68	93
3	63
68	98
101	102
34	137
99	170
5	13
34	139
132	173
79	3
116	35
68	118
5	24
67	151
68	121
37	59
133	156
67	157
67	158
38	5
100	169
1	167
133	172
38	47
101	142
144	134
69	111
175	100
38	63
71	74
7	12
103	108
102	142
134	175
69	146
3	149
121	37
69	155
4	123
37	126
102	161
71	98
71	100
39	70
5	102
5	104
76	72
103	140
174	168
7	48
135	177
114	104
38	120
38	124
5	124
131	71
103	163
37	164
9	10
103	170
137	148
70	179
137	150
72	118
105	119
92	40
137	157
96	7
36	9
5	160
105	133
9	39
38	164
170	38
9	46
42	50
104	177
7	113
6	144
138	148
40	117
10	24
95	8
39	158
129	73
138	170
42	74
42	75
171	172
73	140
41	112
73	144
139	149
43	54
178	6
43	59
10	65
41	128
139	162
136	41
75	108
75	115
41	147
140	160
74	160
43	98
8	159
163	74
140	167
9	134
107	168
11	76
76	110
113	43
12	51
108	150
108	151
109	121
75	156
109	135
42	168
12	75
141	175
146	109
9	174
12	84
44	124
13	67
76	168
110	140
169	10
140	44
44	142
111	115
147	11
153	143
14	56
77	152
120	12
143	158
45	127
46	96
110	162
132	45
47	71
104	46
45	136
46	108
11	170
18	16
48	55
14	87
88	14
91	47
80	95
16	36
167	78
112	138
79	137
47	108
81	84
79	150
49	57
157	112
49	64
80	128
14	128
15	100
46	165
106	48
16	78
15	110
47	146
15	115
47	148
150	80
17	56
82	92
16	94
50	69
15	131
146	166
17	72
48	135
78	50
81	142
17	80
82	114
48	148
48	149
49	120
58	18
81	159
98	17
51	68
115	133
83	103
81	166
48	165
82	138
50	107
114	171
18	78
19	49
16	143
179	114
155	49
83	128
17	129
83	133
134	116
148	166
51	103
73	52
115	171
18	109
18	110
82	178
85	86
149	157
117	128
101	85
20	68
149	166
52	103
52	106
149	174
53	79
84	20
55	21
25	22
119	19
51	154
19	124
21	64
68	54
20	103
22	42
172	84
150	175
20	113
85	146
23	24
54	89
52	152
86	125
22	63
151	163
85	163
53	145
87	122
24	34
99	88
161	53
22	103
20	169
88	111
56	83
53	178
89	100
88	143
25	51
55	148
89	123
154	55
25	62
57	95
121	161
56	130
25	74
139	56
121	172
154	173
57	109
142	23
26	53
89	151
124	123
26	59
89	155
25	92
126	90
26	72
25	105
23	171
90	142
122	176
26	82
145	57
27	51
90	153
58	121
27	64
160	24
59	99
57	162
58	133
90	172
124	143
80	60
60	81
90	177
54	28
92	122
152	25
123	59
91	157
25	160
92	132
133	92
58	164
59	137
107	93
125	141
27	107
25	170
28	79
173	58
59	143
60	113
60	118
60	119
29	59
92	154
61	93
130	27
61	100
30	42
27	135
158	171
27	137
158	174
48	30
61	111
31	33
127	129
60	159
127	140
27	171
127	146
62	115
156	61
127	158
94	164
165	94
61	164
128	136
32	44
29	139
64	81
28	175
94	178
61	178
118	96
63	117
95	151
95	155
159	62
97	31
29	159
29	160
62	167
168	29
44	0
63	140
111	97
63	142
97	114
82	32
0	50
30	148
33	55
65	89
96	152
33	59
